Timestamp,Account_ID,Status,Message,Google_Place_ID,Title,Address,Google_Type__c,Google_Rating__c,Google_Reviews__c,Google_Price__c,Google_URL__c
2026-01-12 11:54:54,001AZ000003qgkDYAQ,SKIPPED_SANITY_CHECK,Best match: 36% < 80%,ChIJQxw6cQDvrw0R7sAGUhxNDdM,MARRAK,"54 Bd Moulay Rachid, Marrakech 40000, Morocco",Restaurant,4.8,569,MAD 50–100,https://marrak.ma/
2026-01-12 11:54:54,0013X00003r3JUMQA2,SKIPPED_SANITY_CHECK,Best match: 36% < 80%,ChIJ8XS2NZfxjkcRsBusSG1mp34,The Mansard Rooftop,"Untergstaadstrasse 26, 3780 Gstaad, Switzerland",Bar,4.9,12,CHF 40–50,https://www.miirohotels.com/the-mansard/eat-and-drink/rooftop
2026-01-12 11:54:54,001AZ000003m29KYAQ,SKIPPED_SANITY_CHECK,Best match: 40% < 80%,ChIJow8Ie8Fu5kcRouc5JnaUmYg,Les Bons Vivants,"5 Bd Ornano, 93200 Saint-Denis, France",Restaurant,3.9,375,€20–30,
2026-01-12 11:54:54,001AZ0000038BVXYA2,SKIPPED_SANITY_CHECK,Best match: 21% < 80%,ChIJ0T0N9sicjkcRXfnduZdn7f0,Grand Hôtel du Lac,"Rue d'Italie 1, 1800 Vevey, Switzerland",Hotel,4.6,1200,$315,http://www.ghdl.ch/
2026-01-12 11:54:54,0013X000030NNB9QAO,NO_RESULT,No SERP results found,,,,,,,,
2026-01-12 11:54:54,0013X00002f7tG1QAI,SKIPPED_SANITY_CHECK,Best match: 78% < 80%,ChIJYdgV_PGifDUR7MyNNSKtVzI,Pierre Gagnaire à Séoul,"South Korea, Seoul, Jung District, Eulji-ro, 30 롯데호텔 서울 Executive Tower 35F",Haute French restaurant,4.5,319,"₩100,000+",https://www.lottehotel.com/seoul-hotel/ko/dining/restaurant-pierre-gagnaire-a-seoul
2026-01-12 11:54:54,0013X00003DiIbmQAF,SKIPPED_SANITY_CHECK,Best match: 37% < 80%,ChIJDar7rAud3w8RAiHTxkTL4ok,Aseda Cuisine Restaurant,"Adenta Municipality, Ghana",Restaurant,4,4,,
2026-01-12 11:54:54,0013X00003h2y9qQAA,SKIPPED_SANITY_CHECK,Best match: 57% < 80%,ChIJlX1y2sKC4BQRoh84SNii1G0,Rebuke Lounge,"Makenzy Beach, Piale Pasa, Larnaca 6027, Cyprus",Restaurant,4.3,1451,$$,http://rebukelounge.com/
2026-01-12 11:54:54,0010X00004IdMhuQAF,SKIPPED_SANITY_CHECK,Best match: 65% < 80%,ChIJtcH0mxTrwQ8R4nK9jfX7oUs,Abidjan Café by Mövenpick,"Avenue Terrasson De Fougeres Angle, Rue Gourgas, Abidjan, Côte d’Ivoire",Restaurant,4,482,,https://all.accor.com/hotel/B4X4/index.en.shtml
2026-01-12 11:54:54,001AZ000003QdSIYA0,SKIPPED_SANITY_CHECK,Best match: 27% < 80%,ChIJSQDNNwOLJRMRjnPaDj7fAjs,PULGARCITO,"Piazza Attilio Pecile, 41, 00154 Roma RM, Italy",Salvadoran restaurant,4.9,800,€10–20,https://pulgarcitorm.sumupstore.com/
